Organization Name,Organization Name URL,Estimated Revenue Range,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Employees,Last Funding Type,IPO Status,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Number of Funding Rounds,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Number of Lead Investors,Website,Founders,Number of Founders,Region
Nav,https://www.crunchbase.com/organization/creditera,$10M to $50M,"Finance, Financial Services, FinTech","Draper, Utah, United States",Nav is the leading credit and financial health platform for small businesses.,4523,1-May-12,month,101-250,Series C,Private,Late Stage Venture,11-Feb-19,44885985,USD,44885985,99024728,USD,99024728,Series C,4,44885985,USD,44885985,99024728,USD,99024728,"Kleiner Perkins, Tencent, Album VC, Kickstart, Crosslink Capital",21,3,https://www.nav.com/,"C. Vance Hanson, Levi King",2,US
Fortera,https://www.crunchbase.com/organization/fortera-fee4,$10M to $50M,"Building Material, CleanTech, Manufacturing, Sustainability","San Jose, California, United States",Fortera is a materials technology company that produces zero CO2 cement for the construction sector.,4546,1-Jan-19,year,101-250,Series C,Private,Late Stage Venture,20-Aug-24,85000000,USD,85000000,115000000,USD,115000000,Series C,3,85000000,USD,85000000,115000000,USD,115000000,"Alumni Ventures, Khosla Ventures, Temasek Holdings, Wollemi, Presidio Ventures",6,3,https://forteraglobal.com,"Michael Weiss, Ryan Gilliam",2,US
1upHealth,https://www.crunchbase.com/organization/1uphealth,$1M to $10M,"Health Care, Hospital, Medical, Medical Device","Boston, Massachusetts, United States","1upHealth is a healthcare data platform operator that aggregates and shares medical data for patients, providers, and software developers.",4621,1-Jan-17,year,101-250,Series C,Private,Late Stage Venture,12-Apr-23,40000000,USD,40000000,75480000,USD,75480000,Series C,5,40000000,USD,40000000,75380000,USD,75380000,"Sixth Street, MassChallenge, Meridian Street Capital, Jackson Square Ventures, F-Prime",7,6,https://1up.health,"Gajen Sunthara, Ricky Sahu",2,US
Flip,https://www.crunchbase.com/organization/flip-fit,$1M to $10M,"E-Commerce, Retail, Shopping, Social Media, Social Network, Social Shopping","El Segundo, California, United States",Flip is a social commerce platform that combines social networking with e-commerce.,4707,1-Aug-19,month,101-250,Series C,Private,Late Stage Venture,2-Apr-24,144000000,USD,144000000,238750000,USD,238750000,Series C,5,144000000,USD,144000000,238750000,USD,238750000,"AppLovin, Human Capital, TLV Partners, WestCap, Streamlined Ventures",11,3,https://itsflip.com,"Jonathan Ellman, Noor Agha",2,US
Peregrine Technologies,https://www.crunchbase.com/organization/peregrine,$10M to $50M,"Analytics, Information Technology, Public Safety, Real Time, Software","San Francisco, California, United States",Peregrine provides a data integration platform that allows state and local government agencies to protect and serve their communities.,4777,1-Jan-18,year,101-250,Series C,Private,Late Stage Venture,4-Mar-25,190000000,USD,190000000,250115291,USD,250115291,Series C,6,190000000,USD,190000000,250115291,USD,250115291,"Sequoia Capital, Craft Ventures, Village Global, O.G. Venture Partners, Goldcrest Capital",11,4,https://peregrine.io,"Ben Rudolph, Nick Noone",2,US
SonderMind,https://www.crunchbase.com/organization/sondermind,$10M to $50M,"Health Care, InsurTech, Mental Health, mHealth, Telehealth, Therapeutics, Wellness","Denver, Colorado, United States",SonderMind is a mental healthcare provider that offers treatment for mental health through therapy and psychiatry.,4789,1-Jan-14,year,101-250,Series C,Private,Late Stage Venture,28-Jul-21,150000000,USD,150000000,183035000,USD,183035000,Series C,6,150000000,USD,150000000,182500000,USD,182500000,"General Catalyst, Alumni Ventures, Quiet Capital, Partners Group, Endeavor Catalyst",24,5,https://www.sondermind.com,"Mark Frank, Sean Boyd",2,US
Dandelion Energy,https://www.crunchbase.com/organization/dandelion-energy,$10M to $50M,"CleanTech, Energy, GreenTech, Renewable Energy","Mount Kisco, New York, United States",Dandelion Energy is a home geothermal company that offers geothermal heating and cooling installations.,4841,1-Jan-17,year,101-250,Series C,Private,Late Stage Venture,24-Sep-24,40000000,USD,40000000,174500000,USD,174500000,Series C,8,40000000,USD,40000000,174500000,USD,174500000,"BoxGroup, New Enterprise Associates, Breakthrough Energy Ventures, Collaborative Fund, ZhenFund",19,7,https://dandelionenergy.com,"James Quazi, Kathleen Hannun",2,US
Copper,https://www.crunchbase.com/organization/copper-inc,$1M to $10M,"Apps, Artificial Intelligence (AI), CRM, Enterprise Software, Generative AI, Natural Language Processing, SaaS, Sales, Software","San Francisco, California, United States",Copper is the only client and project management tool that's a Recommended for Google Workspace app.,4942,1-Jan-11,year,101-250,Series C,Private,Late Stage Venture,22-May-19,15000000,USD,15000000,102000000,USD,102000000,Series C,5,15000000,USD,15000000,102000000,USD,102000000,"Norwest Venture Partners, True Ventures, Industry Ventures, Bloomberg Beta, DHVC",24,2,http://www.copper.com,"Chris Cheng, Jon Lee",2,US
Thyme Care,https://www.crunchbase.com/organization/thyme-care,$1M to $10M,"Health Care, Medical, Oncology","Nashville, Tennessee, United States",Thyme Care is a healthcare company that provides oncology care management services.,5102,1-Jan-20,year,101-250,Series C,Private,Late Stage Venture,16-Jul-24,55000000,USD,55000000,177000000,USD,177000000,Series C,5,55000000,USD,55000000,137000000,USD,137000000,"Andreessen Horowitz, Bessemer Venture Partners, AlleyCorp, Frist Cressey Ventures, Town Hall Ventures",13,9,https://www.thymecare.com,"Bobby Green, Robin Shah",2,US
Medisafe,https://www.crunchbase.com/organization/medisafe-project,Less than $1M,"Health Care, Medical, mHealth, Mobile Apps","Boston, Massachusetts, United States",Medisafe is a personalized tech platform that helps people manage their medications while providing insight into their daily habits.,5135,1-Jan-12,year,101-250,Series C,Private,Late Stage Venture,25-Feb-21,30000000,USD,30000000,51500000,USD,51500000,Series C,5,30000000,USD,30000000,51500000,USD,51500000,"Octopus Ventures, Pitango VC, OurCrowd, Triventures, 7wire Ventures",20,7,http://www.medisafe.com,"Omri Shor, Rotem Shor",2,US
Captions,https://www.crunchbase.com/organization/captions,$1M to $10M,"Artificial Intelligence (AI), Content Creators, Generative AI, Mobile Apps, Software, Video Editing","New York, New York, United States",Captions is an AI-powered creative studio developing a video creation and editing platform for content creation.,5346,1-Jan-21,year,101-250,Series C,Private,Late Stage Venture,9-Jul-24,60000000,USD,60000000,100000000,USD,100000000,Series C,4,60000000,USD,60000000,100000000,USD,100000000,"Andreessen Horowitz, Sequoia Capital, Index Ventures, Kleiner Perkins, SV Angel",21,4,https://www.captions.ai,"Dwight Churchill, Gaurav Misra",2,US
ByHeart,https://www.crunchbase.com/organization/byheart-a794,$100M to $500M,"Biotechnology, Health Care, Nutrition, Wellness","New York, New York, United States",ByHeart is a baby nutrition company with FDA-registered infant formula.,5419,1-Jan-16,year,101-250,Series C,Private,Late Stage Venture,13-May-24,95000000,USD,95000000,277000000,USD,277000000,Series C,5,95000000,USD,95000000,255000000,USD,255000000,"Gaingels, Polaris Partners, Red Sea Ventures, Hyperlink Ventures, OCV",10,3,https://byheart.com,"Mia Funt, Ron Belldegrun",2,US
Echodyne,https://www.crunchbase.com/organization/echodyne,$1M to $10M,"Electronics, National Security, Sensor, Software","Kirkland, Washington, United States",Echodyne develops and manufactures meta-materials-based radar technologies.,5498,1-Jan-14,year,101-250,Series C,Private,Late Stage Venture,13-Jun-22,135000000,USD,135000000,199000000,USD,199000000,Series C,4,135000000,USD,135000000,199000000,USD,199000000,"New Enterprise Associates, Madrona, Lux Capital, Northrop Grumman, Baillie Gifford",10,5,http://echodyne.com/,"Eben Frankenberg, Tom Driscoll",2,US
Pulumi,https://www.crunchbase.com/organization/pulumi-corporation,$1M to $10M,"Cloud Computing, Computer, DevOps, SaaS, Software","Seattle, Washington, United States","Pulumi is a cloud engineering company that offers a way to build, connect, and run modern cloud applications.",5853,1-Jan-17,year,101-250,Series C,Private,Late Stage Venture,3-Oct-23,41000000,USD,41000000,98500000,USD,98500000,Series C,4,41000000,USD,41000000,98500000,USD,98500000,"New Enterprise Associates, Madrona, Tola Capital, Strike Capital",4,2,https://www.pulumi.com,"Eric Rudder, Joe Duffy",2,US
Halo Investing,https://www.crunchbase.com/organization/halo-investing,$1M to $10M,"Finance, Financial Services, FinTech","Chicago, Illinois, United States",Halo Investing is a financial technology platform that provides structured note investments to the average investor.,6252,1-Jan-15,year,101-250,Series C,Private,Late Stage Venture,11-Oct-21,100000000,USD,100000000,115136606,USD,115136606,Series C,3,100000000,USD,100000000,115136606,USD,115136606,"Alumni Ventures, Mubadala, Owl Ventures, William Blair, MassMutual",11,2,http://www.haloinvesting.com,"Biju Kulathakal, Jason Barsema",2,US
fabric,https://www.crunchbase.com/organization/fabric-3ad9,$50M to $100M,"B2B, B2C, E-Commerce, E-Commerce Platforms, Retail Technology, SaaS, Wholesale","Seattle, Washington, United States",fabric offers a headless eCommerce platform that enables companies to grow their online presence via its API-driven modular system.,6420,1-Jan-16,day,101-250,Series C,Private,Late Stage Venture,24-Feb-22,140000000,USD,140000000,293500000,USD,293500000,Series C,5,140000000,USD,140000000,293500000,USD,293500000,"Norwest Venture Partners, B Capital, Forerunner, Sierra Ventures, Greycroft",16,4,https://fabric.inc,"Ryan Bartley, Shiv Agarwal",2,US
Sovrn,https://www.crunchbase.com/organization/sovrn,$50M to $100M,"Advertising, Content Creators, Content Marketing, Publishing","Boulder, Colorado, United States",Sovrn is a publisher technology platform that offers services to online publishers to help them operate and grow their business.,6983,1-Jan-06,year,101-250,Series C,Private,Late Stage Venture,26-Jul-22,36000000,USD,36000000,121487000,USD,121487000,Series C,5,36000000,USD,36000000,91487000,USD,91487000,"Foundry Group, Boulder Ventures, Structural Capital, Lexington Partners, Archer Venture Capital",11,1,http://www.sovrn.com,"Jake Braly, Stan James",2,US
Enfabrica,https://www.crunchbase.com/organization/enfabrica,$10M to $50M,"Artificial Intelligence (AI), Information Technology, Semiconductor, Software","Mountain View, California, United States",Enfabrica is an AI networking chip startup that develops networking solutions for parallel and accelerated computing infrastructure.,7035,1-Jan-19,year,101-250,Series C,Private,Late Stage Venture,19-Nov-24,115000000,USD,115000000,240000000,USD,240000000,Series C,2,115000000,USD,115000000,240000000,USD,240000000,"Valor Equity Partners, Alumni Ventures, NVIDIA, Spark Capital, Cisco Investments",15,3,https://enfabrica.net,"Rochan Sankar, Shrijeet Mukherjee",2,US
PicnicHealth,https://www.crunchbase.com/organization/picnichealth,$50M to $100M,"Analytics, Big Data, Biotechnology, Data Visualization, Health Care, Medical","San Francisco, California, United States",PicnicHealth helps patients easily access their medical records and gives them the opportunity to contribute data to medical research.,7247,17-Jan-14,day,101-250,Series C,Private,Late Stage Venture,27-Jun-22,60000000,USD,60000000,97000000,USD,97000000,Series C,5,60000000,USD,60000000,97000000,USD,97000000,"Y Combinator, B Capital, Slow Ventures, Felicis, Amplify Partners",22,3,https://picnichealth.com/,"Noga Leviner, Troy Astorino",2,US
Volley,https://www.crunchbase.com/organization/volley-2,$1M to $10M,"Artificial Intelligence (AI), Casual Games, Digital Entertainment, Gaming, Media and Entertainment, Podcast, Speech Recognition","San Francisco, California, United States","Volley builds voice-controlled entertainment experiences for Amazon Alexa, Google Assistant, and smartphones.",7256,1-Jan-16,year,101-250,Series C,Private,Late Stage Venture,9-Jul-24,55000000,USD,55000000,107270000,USD,107270000,Series C,7,55000000,USD,55000000,107270000,USD,107270000,"General Catalyst, Y Combinator, Alumni Ventures, Gaingels, Lightspeed Venture Partners",23,6,https://volleygames.com,"James Wilsterman, Max Child",2,US
Abra,https://www.crunchbase.com/organization/abra,$1M to $10M,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, FinTech","Mountain View, California, United States","Abra is a digital asset financial platform where consumers and institutions can buy, sell, store, borrow, and generate yield on crypto.",7269,1-Jan-14,year,101-250,Series C,Private,Late Stage Venture,15-Sep-21,55000000,USD,55000000,106577110,USD,106577110,Series C,8,55000000,USD,55000000,102577110,USD,102577110,"Pantera Capital, Stellar Development Foundation, First Round Capital, CMT Digital, IGNIA",37,6,https://www.abra.com,"Bill Barhydt, Peter Kelly",2,US
OneRail,https://www.crunchbase.com/organization/onerail,$10M to $50M,"Delivery Service, Freight Service, Last Mile Transportation, Logistics, SaaS","Orlando, Florida, United States",OneRail is a software-as-a-service platform that offers final mile delivery services for enterprise shippers.,7385,3-Jan-18,day,101-250,Series C,Private,Late Stage Venture,21-Nov-24,42000000,USD,42000000,109500000,USD,109500000,Series C,8,42000000,USD,42000000,96500000,USD,96500000,"Gaingels, Alumni Ventures, eGateway Capital, Mana Ventures, Ironspring Ventures",18,8,http://www.onerail.com,"Bill Catania, Lisa Catania",2,US
Kiddom,https://www.crunchbase.com/organization/kiddom,$10M to $50M,"E-Learning, EdTech, Education, Software","San Francisco, California, United States",Kiddom is an education platform offering a digital curriculum to engage students virtually or in the classroom.,7426,1-Jan-15,year,101-250,Series C,Private,Late Stage Venture,13-Aug-21,35000000,USD,35000000,56500000,USD,56500000,Series C,3,35000000,USD,35000000,56500000,USD,56500000,"Khosla Ventures, Owl Ventures, Altos Ventures, Outcomes Collective",4,3,https://www.kiddom.co,"Abbas Manjee, Ahsan Rizvi",2,US
NexHealth,https://www.crunchbase.com/organization/nexhealth,$1M to $10M,"Electronic Health Record (EHR), Health Care, Scheduling","San Francisco, California, United States","NexHealth is a real-time patient booking platform for people, their doctors, and healthcare developers.",7438,1-Jan-16,year,101-250,Series C,Private,Late Stage Venture,21-Apr-22,125000000,USD,125000000,176760998,USD,176760998,Series C,8,125000000,USD,125000000,176760998,USD,176760998,"Buckley Ventures, Point Nine, Spearhead, Lachy Groom, Scott Belsky",32,6,https://nexhealth.com,"Alamin Uddin, Waleed Asif",2,US
CARTO,https://www.crunchbase.com/organization/cartodb,$10M to $50M,"Business Intelligence, Data Visualization, Enterprise Software, Geospatial, Location Based Services, Open Source, SaaS, Software","New York, New York, United States","Carto is a platform that turns spatial data into an efficient delivery route, better behavioral marketing, and strategic store placements.",7537,1-Mar-12,day,101-250,Series C,Private,Late Stage Venture,14-Dec-21,61000000,USD,61000000,93986557,USD,93986557,Series C,6,61000000,USD,61000000,92000000,USD,92000000,"Plug and Play, Accel, Insight Partners, European Innovation Council, Salesforce Ventures",12,5,https://www.carto.com,"Javier de la Torre, Sergio Álvarez-Leiva",2,US
